college_id,name,state,exam_type,category,cutoff_rank,marks_cutoff,website,type
201,Christ University,Karnataka,UGCET,General,14000,67,https://www.christuniversity.in,BCA
201,Christ University,Karnataka,UGCET,OBC,19000,62,https://www.christuniversity.in,BCA
201,Christ University,Karnataka,UGCET,SC,29000,57,https://www.christuniversity.in,BCA
201,Christ University,Karnataka,UGCET,ST,34000,54,https://www.christuniversity.in,BCA
202,Christ University,Karnataka,PGCET,General,7000,74,https://www.christuniversity.in,MCA
202,Christ University,Karnataka,PGCET,OBC,11000,69,https://www.christuniversity.in,MCA
202,Christ University,Karnataka,PGCET,SC,17000,64,https://www.christuniversity.in,MCA
202,Christ University,Karnataka,PGCET,ST,20000,61,https://www.christuniversity.in,MCA
203,Indraprastha University,Delhi,IPU CET,General,11000,70,https://www.ipu.ac.in,BCA
203,Indraprastha University,Delhi,IPU CET,OBC,16000,65,https://www.ipu.ac.in,BCA
203,Indraprastha University,Delhi,IPU CET,SC,24000,60,https://www.ipu.ac.in,BCA
203,Indraprastha University,Delhi,IPU CET,ST,28000,57,https://www.ipu.ac.in,BCA
204,Symbiosis Institute of Computer Studies,Maharashtra,MHT CET,General,17000,64,https://www.siu.edu.in,BCA
204,Symbiosis Institute of Computer Studies,Maharashtra,MHT CET,OBC,22000,59,https://www.siu.edu.in,BCA
204,Symbiosis Institute of Computer Studies,Maharashtra,MHT CET,SC,31000,54,https://www.siu.edu.in,BCA
204,Symbiosis Institute of Computer Studies,Maharashtra,MHT CET,ST,36000,51,https://www.siu.edu.in,BCA
205,Madras Christian College,Tamil Nadu,TANCET,General,8000,73,https://www.mcc.edu.in,BCA
205,Madras Christian College,Tamil Nadu,TANCET,OBC,13000,68,https://www.mcc.edu.in,BCA
205,Madras Christian College,Tamil Nadu,TANCET,SC,19000,63,https://www.mcc.edu.in,BCA
205,Madras Christian College,Tamil Nadu,TANCET,ST,23000,60,https://www.mcc.edu.in,BCA
206,St. Xavier's College,West Bengal,UGCET,General,21000,60,https://www.sxccal.edu,BCA
206,St. Xavier's College,West Bengal,UGCET,OBC,26000,55,https://www.sxccal.edu,BCA
206,St. Xavier's College,West Bengal,UGCET,SC,36000,50,https://www.sxccal.edu,BCA
206,St. Xavier's College,West Bengal,UGCET,ST,41000,47,https://www.sxccal.edu,BCA
207,VIT University,Tamil Nadu,PGCET,General,5500,76,https://www.vit.ac.in,MCA
207,VIT University,Tamil Nadu,PGCET,OBC,9500,71,https://www.vit.ac.in,MCA
207,VIT University,Tamil Nadu,PGCET,SC,14500,66,https://www.vit.ac.in,MCA
207,VIT University,Tamil Nadu,PGCET,ST,17500,63,https://www.vit.ac.in,MCA
208,Loyola College,Tamil Nadu,BCA Entrance,General,24000,57,https://www.loyolacollege.edu,BCA
208,Loyola College,Tamil Nadu,BCA Entrance,OBC,29000,52,https://www.loyolacollege.edu,BCA
208,Loyola College,Tamil Nadu,BCA Entrance,SC,39000,47,https://www.loyolacollege.edu,BCA
208,Loyola College,Tamil Nadu,BCA Entrance,ST,44000,44,https://www.loyolacollege.edu,BCA
209,Amrita Vishwa Vidyapeetham,Tamil Nadu,MCA Entrance,General,10000,69,https://www.amrita.edu,MCA
