college_id,year,exam_type,category,cutoff_rank,cutoff_marks
201,2020,UGCET,General,15000,65
201,2020,UGCET,OBC,20000,60
201,2020,UGCET,SC,30000,55
201,2020,UGCET,ST,35000,52
201,2021,UGCET,General,14800,65
201,2021,UGCET,OBC,19800,60
201,2021,UGCET,SC,29800,55
201,2021,UGCET,ST,34800,52
201,2022,UGCET,General,14600,66
201,2022,UGCET,OBC,19600,61
201,2022,UGCET,SC,29600,56
201,2022,UGCET,ST,34600,53
201,2023,UGCET,General,14400,66
201,2023,UGCET,OBC,19400,61
201,2023,UGCET,SC,29400,56
201,2023,UGCET,ST,34400,53
201,2024,UGCET,General,14200,67
201,2024,UGCET,OBC,19200,62
201,2024,UGCET,SC,29200,57
201,2024,UGCET,ST,34200,54
201,2025,UGCET,General,14000,67
201,2025,UGCET,OBC,19000,62
201,2025,UGCET,SC,29000,57
201,2025,UGCET,ST,34000,54
202,2020,PGCET,General,8000,72
202,2020,PGCET,OBC,12000,67
202,2020,PGCET,SC,18000,62
202,2020,PGCET,ST,21000,59
202,2021,PGCET,General,7800,72
202,2021,PGCET,OBC,11800,67
202,2021,PGCET,SC,17800,62
202,2021,PGCET,ST,20800,59
202,2022,PGCET,General,7600,73
202,2022,PGCET,OBC,11600,68
202,2022,PGCET,SC,17600,63
202,2022,PGCET,ST,20600,60
202,2023,PGCET,General,7400,73
202,2023,PGCET,OBC,11400,68
202,2023,PGCET,SC,17400,63
202,2023,PGCET,ST,20400,60
202,2024,PGCET,General,7200,74
202,2024,PGCET,OBC,11200,69
202,2024,PGCET,SC,17200,64
202,2024,PGCET,ST,20200,61
202,2025,PGCET,General,7000,74
202,2025,PGCET,OBC,11000,69
202,2025,PGCET,SC,17000,64
202,2025,PGCET,ST,20000,61
203,2020,IPU CET,General,12000,68
203,2020,IPU CET,OBC,17000,63
203,2020,IPU CET,SC,25000,58
203,2020,IPU CET,ST,29000,55
203,2021,IPU CET,General,11800,68
203,2021,IPU CET,OBC,16800,63
203,2021,IPU CET,SC,24800,58
203,2021,IPU CET,ST,28800,55
203,2022,IPU CET,General,11600,69
203,2022,IPU CET,OBC,16600,64
203,2022,IPU CET,SC,24600,59
203,2022,IPU CET,ST,28600,56
203,2023,IPU CET,General,11400,69
203,2023,IPU CET,OBC,16400,64
203,2023,IPU CET,SC,24400,59
203,2023,IPU CET,ST,28400,56
203,2024,IPU CET,General,11200,70
203,2024,IPU CET,OBC,16200,65
203,2024,IPU CET,SC,24200,60
203,2024,IPU CET,ST,28200,57
203,2025,IPU CET,General,11000,70
203,2025,IPU CET,OBC,16000,65
203,2025,IPU CET,SC,24000,60
203,2025,IPU CET,ST,28000,57
204,2020,MHT CET,General,18000,62
204,2020,MHT CET,OBC,23000,57
204,2020,MHT CET,SC,32000,52
204,2020,MHT CET,ST,37000,49
204,2021,MHT CET,General,17800,62
204,2021,MHT CET,OBC,22800,57
204,2021,MHT CET,SC,31800,52
204,2021,MHT CET,ST,36800,49
204,2022,MHT CET,General,17600,63
204,2022,MHT CET,OBC,22600,58
204,2022,MHT CET,SC,31600,53
204,2022,MHT CET,ST,36600,50
204,2023,MHT CET,General,17400,63
204,2023,MHT CET,OBC,22400,58
204,2023,MHT CET,SC,31400,53
204,2023,MHT CET,ST,36400,50
204,2024,MHT CET,General,17200,64
204,2024,MHT CET,OBC,22200,59
204,2024,MHT CET,SC,31200,54
204,2024,MHT CET,ST,36200,51
204,2025,MHT CET,General,17000,64
204,2025,MHT CET,OBC,22000,59
204,2025,MHT CET,SC,31000,54
204,2025,MHT CET,ST,36000,51
205,2020,TANCET,General,9000,71
205,2020,TANCET,OBC,14000,66
205,2020,TANCET,SC,20000,61
205,2020,TANCET,ST,24000,58
205,2021,TANCET,General,8800,71
205,2021,TANCET,OBC,13800,66
205,2021,TANCET,SC,19800,61
205,2021,TANCET,ST,23800,58
205,2022,TANCET,General,8600,72
205,2022,TANCET,OBC,13600,67
205,2022,TANCET,SC,19600,62
205,2022,TANCET,ST,23600,59
205,2023,TANCET,General,8400,72
205,2023,TANCET,OBC,13400,67
205,2023,TANCET,SC,19400,62
205,2023,TANCET,ST,23400,59
205,2024,TANCET,General,8200,73
205,2024,TANCET,OBC,13200,68
205,2024,TANCET,SC,19200,63
205,2024,TANCET,ST,23200,60
205,2025,TANCET,General,8000,73
205,2025,TANCET,OBC,13000,68
205,2025,TANCET,SC,19000,63
205,2025,TANCET,ST,23000,60
206,2020,UGCET,General,22000,58
206,2020,UGCET,OBC,27000,53
206,2020,UGCET,SC,37000,48
206,2020,UGCET,ST,42000,45
206,2021,UGCET,General,21800,58
206,2021,UGCET,OBC,26800,53
206,2021,UGCET,SC,36800,48
206,2021,UGCET,ST,41800,45
206,2022,UGCET,General,21600,59
206,2022,UGCET,OBC,26600,54
206,2022,UGCET,SC,36600,49
