college_id,year,exam_type,category,cutoff_rank,cutoff_marks
1,2020,JEE Main,General,120,83
1,2020,JEE Main,OBC,550,78
1,2020,JEE Main,SC,1600,73
1,2020,JEE Main,ST,2200,70
1,2021,JEE Main,General,110,84
1,2021,JEE Main,OBC,520,79
1,2021,JEE Main,SC,1550,74
1,2021,JEE Main,ST,2100,71
1,2022,JEE Main,General,105,84
1,2022,JEE Main,OBC,510,79
1,2022,JEE Main,SC,1520,74
1,2022,JEE Main,ST,2050,71
1,2023,JEE Main,General,100,85
1,2023,JEE Main,OBC,500,80
1,2023,JEE Main,SC,1500,75
1,2023,JEE Main,ST,2000,72
1,2024,JEE Main,General,95,85
1,2024,JEE Main,OBC,480,80
1,2024,JEE Main,SC,1450,75
1,2024,JEE Main,ST,1950,72
1,2025,JEE Main,General,90,86
1,2025,JEE Main,OBC,460,81
1,2025,JEE Main,SC,1400,76
1,2025,JEE Main,ST,1900,73
2,2020,JEE Main,General,550,78
2,2020,JEE Main,OBC,1600,73
2,2020,JEE Main,SC,3200,68
2,2020,JEE Main,ST,4200,66
2,2021,JEE Main,General,520,79
2,2021,JEE Main,OBC,1550,74
2,2021,JEE Main,SC,3100,69
2,2021,JEE Main,ST,4100,67
2,2022,JEE Main,General,510,79
2,2022,JEE Main,OBC,1520,74
2,2022,JEE Main,SC,3050,69
2,2022,JEE Main,ST,4050,67
2,2023,JEE Main,General,500,80
2,2023,JEE Main,OBC,1500,75
2,2023,JEE Main,SC,3000,70
2,2023,JEE Main,ST,4000,68
2,2024,JEE Main,General,480,80
2,2024,JEE Main,OBC,1450,75
2,2024,JEE Main,SC,2900,70
2,2024,JEE Main,ST,3900,68
2,2025,JEE Main,General,460,81
2,2025,JEE Main,OBC,1400,76
2,2025,JEE Main,SC,2800,71
2,2025,JEE Main,ST,3800,69
3,2020,JEE Main,General,350,80
3,2020,JEE Main,OBC,900,75
3,2020,JEE Main,SC,2200,70
3,2020,JEE Main,ST,2700,68
3,2021,JEE Main,General,330,81
3,2021,JEE Main,OBC,850,76
3,2021,JEE Main,SC,2100,71
3,2021,JEE Main,ST,2600,69
3,2022,JEE Main,General,320,81
3,2022,JEE Main,OBC,820,76
3,2022,JEE Main,SC,2050,71
3,2022,JEE Main,ST,2550,69
3,2023,JEE Main,General,300,82
3,2023,JEE Main,OBC,800,77
3,2023,JEE Main,SC,2000,72
3,2023,JEE Main,ST,2500,70
3,2024,JEE Main,General,290,82
3,2024,JEE Main,OBC,780,77
3,2024,JEE Main,SC,1950,72
3,2024,JEE Main,ST,2450,70
3,2025,JEE Main,General,280,83
3,2025,JEE Main,OBC,760,78
3,2025,JEE Main,SC,1900,73
3,2025,JEE Main,ST,2400,71
4,2020,JEE Main,General,450,79
4,2020,JEE Main,OBC,1100,74
4,2020,JEE Main,SC,2700,69
4,2020,JEE Main,ST,3200,67
4,2021,JEE Main,General,430,80
4,2021,JEE Main,OBC,1050,75
4,2021,JEE Main,SC,2600,70
4,2021,JEE Main,ST,3100,68
4,2022,JEE Main,General,420,80
4,2022,JEE Main,OBC,1020,75
4,2022,JEE Main,SC,2550,70
4,2022,JEE Main,ST,3050,68
4,2023,JEE Main,General,400,81
4,2023,JEE Main,OBC,1000,76
4,2023,JEE Main,SC,2500,71
4,2023,JEE Main,ST,3000,69
4,2024,JEE Main,General,390,81
4,2024,JEE Main,OBC,980,76
4,2024,JEE Main,SC,2450,71
4,2024,JEE Main,ST,2950,69
4,2025,JEE Main,General,380,82
4,2025,JEE Main,OBC,960,77
4,2025,JEE Main,SC,2400,72
4,2025,JEE Main,ST,2900,70
5,2020,JEE Main,General,650,77
5,2020,JEE Main,OBC,1300,72
5,2020,JEE Main,SC,3000,67
5,2020,JEE Main,ST,3700,65
5,2021,JEE Main,General,630,78
5,2021,JEE Main,OBC,1250,73
5,2021,JEE Main,SC,2900,68
5,2021,JEE Main,ST,3600,66
5,2022,JEE Main,General,620,78
5,2022,JEE Main,OBC,1220,73
5,2022,JEE Main,SC,2850,68
5,2022,JEE Main,ST,3550,66
5,2023,JEE Main,General,600,79
5,2023,JEE Main,OBC,1200,74
5,2023,JEE Main,SC,2800,69
5,2023,JEE Main,ST,3500,67
5,2024,JEE Main,General,580,79
5,2024,JEE Main,OBC,1180,74
5,2024,JEE Main,SC,2750,69
5,2024,JEE Main,ST,3450,67
5,2025,JEE Main,General,560,80
5,2025,JEE Main,OBC,1160,75
5,2025,JEE Main,SC,2700,70
5,2025,JEE Main,ST,3400,68
9,2020,JEE Main,General,5500,73
9,2020,JEE Main,OBC,8500,68
9,2020,JEE Main,SC,16000,63
9,2020,JEE Main,ST,19000,61
9,2021,JEE Main,General,5300,74
9,2021,JEE Main,OBC,8300,69
9,2021,JEE Main,SC,15500,64
9,2021,JEE Main,ST,18500,62
9,2022,JEE Main,General,5200,74
9,2022,JEE Main,OBC,8200,69
9,2022,JEE Main,SC,15200,64
9,2022,JEE Main,ST,18200,62
9,2023,JEE Main,General,5000,75
9,2023,JEE Main,OBC,8000,70
9,2023,JEE Main,SC,15000,65
9,2023,JEE Main,ST,18000,63
9,2024,JEE Main,General,4800,75
9,2024,JEE Main,OBC,7800,70
9,2024,JEE Main,SC,14800,65
9,2024,JEE Main,ST,17800,63
9,2025,JEE Main,General,4600,76
9,2025,JEE Main,OBC,7600,71
9,2025,JEE Main,SC,14600,66
9,2025,JEE Main,ST,17600,64
10,2020,JEE Main,General,6000,72
10,2020,JEE Main,OBC,9000,67
10,2020,JEE Main,SC,17000,62
10,2020,JEE Main,ST,20000,60
10,2021,JEE Main,General,5800,73
10,2021,JEE Main,OBC,8800,68
10,2021,JEE Main,SC,16500,63
10,2021,JEE Main,ST,19500,61
10,2022,JEE Main,General,5700,73
10,2022,JEE Main,OBC,8600,68
10,2022,JEE Main,SC,16200,63
10,2022,JEE Main,ST,19200,61
10,2023,JEE Main,General,5500,74
10,2023,JEE Main,OBC,8500,69
10,2023,JEE Main,SC,16000,64
10,2023,JEE Main,ST,19000,62
10,2024,JEE Main,General,5300,74
10,2024,JEE Main,OBC,8300,69
10,2024,JEE Main,SC,15800,64
10,2024,JEE Main,ST,18800,62
10,2025,JEE Main,General,5100,75
10,2025,JEE Main,OBC,8100,70
10,2025,JEE Main,SC,15600,65
10,2025,JEE Main,ST,18600,63
13,2020,VITEEE,General,16000,63
13,2020,VITEEE,OBC,21000,58
13,2020,VITEEE,SC,32000,53
13,2020,VITEEE,ST,37000,50
13,2021,VITEEE,General,15500,64
13,2021,VITEEE,OBC,20500,59
13,2021,VITEEE,SC,31000,54
13,2021,VITEEE,ST,36000,51
13,2022,VITEEE,General,15200,64
13,2022,VITEEE,OBC,20200,59
13,2022,VITEEE,SC,30500,54
13,2022,VITEEE,ST,35500,51
13,2023,VITEEE,General,15000,65
13,2023,VITEEE,OBC,20000,60
13,2023,VITEEE,SC,30000,55
13,2023,VITEEE,ST,35000,52
13,2024,VITEEE,General,14800,65
13,2024,VITEEE,OBC,19800,60
13,2024,VITEEE,SC,29800,55
13,2024,VITEEE,ST,34800,52
13,2025,VITEEE,General,14600,66
13,2025,VITEEE,OBC,19600,61
13,2025,VITEEE,SC,29600,56
13,2025,VITEEE,ST,34600,53
14,2020,SRMJEEE,General,22000,58
14,2020,SRMJEEE,OBC,27000,54
14,2020,SRMJEEE,SC,37000,49
14,2020,SRMJEEE,ST,42000,46
14,2021,SRMJEEE,General,21000,59
14,2021,SRMJEEE,OBC,26000,55
14,2021,SRMJEEE,SC,36000,50
14,2021,SRMJEEE,ST,41000,47
14,2022,SRMJEEE,General,20500,59
14,2022,SRMJEEE,OBC,25500,55
14,2022,SRMJEEE,SC,35500,50
14,2022,SRMJEEE,ST,40500,47
14,2023,SRMJEEE,General,20000,60
14,2023,SRMJEEE,OBC,25000,56
14,2023,SRMJEEE,SC,35000,51
14,2023,SRMJEEE,ST,40000,48
14,2024,SRMJEEE,General,19500,60
14,2024,SRMJEEE,OBC,24500,56
14,2024,SRMJEEE,SC,34500,51
14,2024,SRMJEEE,ST,39500,48
14,2025,SRMJEEE,General,19000,61
14,2025,SRMJEEE,OBC,24000,57
14,2025,SRMJEEE,SC,34000,52
14,2025,SRMJEEE,ST,39000,49
18,2020,BITSAT,General,3200,70
18,2020,BITSAT,OBC,6500,65
18,2020,BITSAT,SC,11000,60
18,2020,BITSAT,ST,13000,58
18,2021,BITSAT,General,3100,71
18,2021,BITSAT,OBC,6300,66
18,2021,BITSAT,SC,10500,61
18,2021,BITSAT,ST,12500,59
18,2022,BITSAT,General,3050,71
18,2022,BITSAT,OBC,6200,66
18,2022,BITSAT,SC,10200,61
18,2022,BITSAT,ST,12200,59
18,2023,BITSAT,General,3000,72
18,2023,BITSAT,OBC,6000,67
18,2023,BITSAT,SC,10000,62
18,2023,BITSAT,ST,12000,60
18,2024,BITSAT,General,2900,72
18,2024,BITSAT,OBC,5900,67
18,2024,BITSAT,SC,9800,62
18,2024,BITSAT,ST,11800,60
18,2025,BITSAT,General,2800,73
18,2025,BITSAT,OBC,5800,68
18,2025,BITSAT,SC,9600,63
18,2025,BITSAT,ST,11600,61
23,2020,KCET,General,16000,62
23,2020,KCET,OBC,21000,57
23,2020,KCET,SC,29000,52
23,2020,KCET,ST,33000,49
23,2021,KCET,General,15500,63
23,2021,KCET,OBC,20500,58
23,2021,KCET,SC,28500,53
23,2021,KCET,ST,32500,50
23,2022,KCET,General,15200,63
23,2022,KCET,OBC,20200,58
23,2022,KCET,SC,28200,53
23,2022,KCET,ST,32200,50
23,2023,KCET,General,15000,64
23,2023,KCET,OBC,20000,59
23,2023,KCET,SC,28000,54
23,2023,KCET,ST,32000,51
23,2024,KCET,General,14800,64
23,2024,KCET,OBC,19800,59
23,2024,KCET,SC,27800,54
23,2024,KCET,ST,31800,51
23,2025,KCET,General,14600,65
23,2025,KCET,OBC,19600,60
23,2025,KCET,SC,27600,55
23,2025,KCET,ST,31600,52
24,2020,COMEDK,General,13000,66
24,2020,COMEDK,OBC,19000,61
24,2020,COMEDK,SC,26000,56
24,2020,COMEDK,ST,31000,53
24,2021,COMEDK,General,12500,67
24,2021,COMEDK,OBC,18500,62
24,2021,COMEDK,SC,25500,57
24,2021,COMEDK,ST,30500,54
24,2022,COMEDK,General,12200,67
24,2022,COMEDK,OBC,18200,62
24,2022,COMEDK,SC,25200,57
24,2022,COMEDK,ST,30200,54
24,2023,COMEDK,General,12000,68
24,2023,COMEDK,OBC,18000,63
24,2023,COMEDK,SC,25000,58
24,2023,COMEDK,ST,30000,55
24,2024,COMEDK,General,11800,68
24,2024,COMEDK,OBC,17800,63
24,2024,COMEDK,SC,24800,58
24,2024,COMEDK,ST,29800,55
24,2025,COMEDK,General,11600,69
24,2025,COMEDK,OBC,17600,64
24,2025,COMEDK,SC,24600,59
24,2025,COMEDK,ST,29600,56
101,2020,NEET,General,120,83
101,2020,NEET,OBC,550,78
101,2020,NEET,SC,1600,73
101,2020,NEET,ST,2200,70
101,2021,NEET,General,110,84
