college_id,name,state,exam_type,category,cutoff_rank,marks_cutoff,website,type
101,All India Institute of Medical Sciences Delhi,Delhi,NEET,General,100,85,https://www.aiims.edu,Medical
101,All India Institute of Medical Sciences Delhi,Delhi,NEET,OBC,500,80,https://www.aiims.edu,Medical
101,All India Institute of Medical Sciences Delhi,Delhi,NEET,SC,1500,75,https://www.aiims.edu,Medical
101,All India Institute of Medical Sciences Delhi,Delhi,NEET,ST,2000,72,https://www.aiims.edu,Medical
102,Christian Medical College Vellore,Tamil Nadu,NEET,General,500,80,https://www.cmch-vellore.edu,Medical
102,Christian Medical College Vellore,Tamil Nadu,NEET,OBC,1200,75,https://www.cmch-vellore.edu,Medical
102,Christian Medical College Vellore,Tamil Nadu,NEET,SC,2500,70,https://www.cmch-vellore.edu,Medical
102,Christian Medical College Vellore,Tamil Nadu,NEET,ST,3200,67,https://www.cmch-vellore.edu,Medical
103,Armed Forces Medical College Pune,Maharashtra,NEET,General,1000,78,https://www.afmcdg1d.gov.in,Medical
103,Armed Forces Medical College Pune,Maharashtra,NEET,OBC,2000,73,https://www.afmcdg1d.gov.in,Medical
103,Armed Forces Medical College Pune,Maharashtra,NEET,SC,4000,68,https://www.afmcdg1d.gov.in,Medical
103,Armed Forces Medical College Pune,Maharashtra,NEET,ST,5000,65,https://www.afmcdg1d.gov.in,Medical
104,Maulana Azad Medical College Delhi,Delhi,NEET,General,800,79,https://www.mamc.ac.in,Medical
104,Maulana Azad Medical College Delhi,Delhi,NEET,OBC,1500,74,https://www.mamc.ac.in,Medical
104,Maulana Azad Medical College Delhi,Delhi,NEET,SC,3000,69,https://www.mamc.ac.in,Medical
104,Maulana Azad Medical College Delhi,Delhi,NEET,ST,3800,66,https://www.mamc.ac.in,Medical
105,Lady Hardinge Medical College Delhi,Delhi,NEET,General,1200,77,https://www.lhmc-hosp.gov.in,Medical
105,Lady Hardinge Medical College Delhi,Delhi,NEET,OBC,1800,72,https://www.lhmc-hosp.gov.in,Medical
105,Lady Hardinge Medical College Delhi,Delhi,NEET,SC,3500,67,https://www.lhmc-hosp.gov.in,Medical
105,Lady Hardinge Medical College Delhi,Delhi,NEET,ST,4200,64,https://www.lhmc-hosp.gov.in,Medical
106,Grant Medical College Mumbai,Maharashtra,NEET,General,1500,76,https://www.gmc.gov.in,Medical
106,Grant Medical College Mumbai,Maharashtra,NEET,OBC,2200,71,https://www.gmc.gov.in,Medical
106,Grant Medical College Mumbai,Maharashtra,NEET,SC,4000,66,https://www.gmc.gov.in,Medical
106,Grant Medical College Mumbai,Maharashtra,NEET,ST,4800,63,https://www.gmc.gov.in,Medical
107,Seth GS Medical College Mumbai,Maharashtra,NEET,General,1800,75,https://www.kem.edu,Medical
107,Seth GS Medical College Mumbai,Maharashtra,NEET,OBC,2500,70,https://www.kem.edu,Medical
107,Seth GS Medical College Mumbai,Maharashtra,NEET,SC,4500,65,https://www.kem.edu,Medical
107,Seth GS Medical College Mumbai,Maharashtra,NEET,ST,5200,62,https://www.kem.edu,Medical
108,King George's Medical University Lucknow,Uttar Pradesh,NEET,General,2000,74,https://www.kgmu.org,Medical
108,King George's Medical University Lucknow,Uttar Pradesh,NEET,OBC,2800,69,https://www.kgmu.org,Medical
108,King George's Medical University Lucknow,Uttar Pradesh,NEET,SC,4800,64,https://www.kgmu.org,Medical
108,King George's Medical University Lucknow,Uttar Pradesh,NEET,ST,5500,61,https://www.kgmu.org,Medical
109,Institute of Medical Sciences BHU Varanasi,Uttar Pradesh,NEET,General,2500,73,https://www.bhu.ac.in,Medical
109,Institute of Medical Sciences BHU Varanasi,Uttar Pradesh,NEET,OBC,3200,68,https://www.bhu.ac.in,Medical
109,Institute of Medical Sciences BHU Varanasi,Uttar Pradesh,NEET,SC,5200,63,https://www.bhu.ac.in,Medical
109,Institute of Medical Sciences BHU Varanasi,Uttar Pradesh,NEET,ST,6000,60,https://www.bhu.ac.in,Medical
110,JIPMER Puducherry,Puducherry,NEET,General,600,80,https://www.jipmer.edu.in,Medical
110,JIPMER Puducherry,Puducherry,NEET,OBC,1000,75,https://www.jipmer.edu.in,Medical
110,JIPMER Puducherry,Puducherry,NEET,SC,2000,70,https://www.jipmer.edu.in,Medical
110,JIPMER Puducherry,Puducherry,NEET,ST,2500,67,https://www.jipmer.edu.in,Medical
111,Madras Medical College Chennai,Tamil Nadu,NEET,General,3000,72,https://www.mmc.ac.in,Medical
111,Madras Medical College Chennai,Tamil Nadu,NEET,OBC,5000,67,https://www.mmc.ac.in,Medical
111,Madras Medical College Chennai,Tamil Nadu,NEET,SC,8000,62,https://www.mmc.ac.in,Medical
111,Madras Medical College Chennai,Tamil Nadu,NEET,ST,9000,59,https://www.mmc.ac.in,Medical
112,Stanley Medical College Chennai,Tamil Nadu,NEET,General,3500,71,https://www.stanleymedicalcollege.com,Medical
112,Stanley Medical College Chennai,Tamil Nadu,NEET,OBC,5500,66,https://www.stanleymedicalcollege.com,Medical
112,Stanley Medical College Chennai,Tamil Nadu,NEET,SC,8500,61,https://www.stanleymedicalcollege.com,Medical
112,Stanley Medical College Chennai,Tamil Nadu,NEET,ST,9500,58,https://www.stanleymedicalcollege.com,Medical
113,Kilpauk Medical College Chennai,Tamil Nadu,NEET,General,4000,70,https://www.kmc-chennai.com,Medical
113,Kilpauk Medical College Chennai,Tamil Nadu,NEET,OBC,6000,65,https://www.kmc-chennai.com,Medical
113,Kilpauk Medical College Chennai,Tamil Nadu,NEET,SC,9000,60,https://www.kmc-chennai.com,Medical
113,Kilpauk Medical College Chennai,Tamil Nadu,NEET,ST,10000,57,https://www.kmc-chennai.com,Medical
