college_id,name,state,exam_type,category,cutoff_rank,marks_cutoff,website,type
1,Indian Institute of Technology Bombay,Maharashtra,JEE Main,General,100,85,https://www.iitb.ac.in,Engineering
1,Indian Institute of Technology Bombay,Maharashtra,JEE Main,OBC,500,80,https://www.iitb.ac.in,Engineering
1,Indian Institute of Technology Bombay,Maharashtra,JEE Main,SC,1500,75,https://www.iitb.ac.in,Engineering
1,Indian Institute of Technology Bombay,Maharashtra,JEE Main,ST,2000,72,https://www.iitb.ac.in,Engineering
2,Indian Institute of Technology Delhi,Delhi,JEE Main,General,500,80,https://www.iitd.ac.in,Engineering
2,Indian Institute of Technology Delhi,Delhi,JEE Main,OBC,1500,75,https://www.iitd.ac.in,Engineering
2,Indian Institute of Technology Delhi,Delhi,JEE Main,SC,3000,70,https://www.iitd.ac.in,Engineering
2,Indian Institute of Technology Delhi,Delhi,JEE Main,ST,4000,68,https://www.iitd.ac.in,Engineering
3,Indian Institute of Technology Madras,Tamil Nadu,JEE Main,General,300,82,https://www.iitm.ac.in,Engineering
3,Indian Institute of Technology Madras,Tamil Nadu,JEE Main,OBC,800,77,https://www.iitm.ac.in,Engineering
3,Indian Institute of Technology Madras,Tamil Nadu,JEE Main,SC,2000,72,https://www.iitm.ac.in,Engineering
3,Indian Institute of Technology Madras,Tamil Nadu,JEE Main,ST,2500,70,https://www.iitm.ac.in,Engineering
4,Indian Institute of Technology Kanpur,Uttar Pradesh,JEE Main,General,400,81,https://www.iitk.ac.in,Engineering
4,Indian Institute of Technology Kanpur,Uttar Pradesh,JEE Main,OBC,1000,76,https://www.iitk.ac.in,Engineering
4,Indian Institute of Technology Kanpur,Uttar Pradesh,JEE Main,SC,2500,71,https://www.iitk.ac.in,Engineering
4,Indian Institute of Technology Kanpur,Uttar Pradesh,JEE Main,ST,3000,69,https://www.iitk.ac.in,Engineering
5,Indian Institute of Technology Kharagpur,West Bengal,JEE Main,General,600,79,https://www.iitkgp.ac.in,Engineering
5,Indian Institute of Technology Kharagpur,West Bengal,JEE Main,OBC,1200,74,https://www.iitkgp.ac.in,Engineering
5,Indian Institute of Technology Kharagpur,West Bengal,JEE Main,SC,2800,69,https://www.iitkgp.ac.in,Engineering
5,Indian Institute of Technology Kharagpur,West Bengal,JEE Main,ST,3500,67,https://www.iitkgp.ac.in,Engineering
6,Indian Institute of Technology Roorkee,Uttarakhand,JEE Main,General,700,78,https://www.iitr.ac.in,Engineering
6,Indian Institute of Technology Roorkee,Uttarakhand,JEE Main,OBC,1400,73,https://www.iitr.ac.in,Engineering
6,Indian Institute of Technology Roorkee,Uttarakhand,JEE Main,SC,3000,68,https://www.iitr.ac.in,Engineering
6,Indian Institute of Technology Roorkee,Uttarakhand,JEE Main,ST,3700,66,https://www.iitr.ac.in,Engineering
7,Indian Institute of Technology Guwahati,Assam,JEE Main,General,800,77,https://www.iitg.ac.in,Engineering
7,Indian Institute of Technology Guwahati,Assam,JEE Main,OBC,1600,72,https://www.iitg.ac.in,Engineering
7,Indian Institute of Technology Guwahati,Assam,JEE Main,SC,3200,67,https://www.iitg.ac.in,Engineering
7,Indian Institute of Technology Guwahati,Assam,JEE Main,ST,3900,65,https://www.iitg.ac.in,Engineering
8,Indian Institute of Technology Hyderabad,Telangana,JEE Main,General,900,76,https://www.iith.ac.in,Engineering
